station,period,n,mean,p50,p90,weibull_k,weibull_c,power_density,dir_0,dir_22,dir_45,dir_67,dir_90,dir_112,dir_135,dir_157,dir_180,dir_202,dir_225,dir_247,dir_270,dir_292,dir_315,dir_337
47113,2023,8737,13.217671969783678,11.2,24.1,1.7570649162374965,14.930378072440142,3259.2744469068334,0.053221929724161614,0.07611308229369348,0.08080576857044752,0.02357788714661783,0.0445232917477395,0.05722788142382969,0.05871580634084926,0.04566784937621609,0.07611308229369348,0.04612567242760673,0.034451184617145476,0.046583495478997365,0.12361222387547213,0.09202243332951814,0.09167906604097516,0.04955934531303651
47114,2023,8737,3.580473846858189,3.6,7.6,1.6639287077605442,4.8185393437773385,106.80195056369462,0.42028156117660526,0.004921597802449353,0.04589676090191141,0.019457479684102094,0.06535424058601351,0.0005722788142382969,0.0256380908778757,0.018656289344168478,0.055625500743962455,0.0030903055968868032,0.08286597230170539,0.06066155430925947,0.14032276525123039,0.0011445576284765937,0.030903055968868033,0.024607989012246766
47115,2023,8737,23.81373469154172,22.0,40.3,2.205527389751518,26.968040415070888,14744.810642311435,0.06043264278356415,0.06306512532906032,0.05367975277555225,0.04624012819045439,0.03319217122582122,0.03502346343138377,0.041776353439395675,0.05425203158979055,0.11251001487924916,0.1262447064209683,0.06741444431727138,0.035366830719926745,0.062836213803365,0.09843195604898707,0.06867345770859563,0.0408607073366144
47117,2023,8737,7.152317729197666,5.4,14.8,1.407536116976896,7.913125532560895,792.6300299387661,0.017626187478539543,0.021403227652512305,0.06695662126588074,0.1383770172828202,0.10770287283964748,0.05711342566098203,0.036625844111251,0.028842852237610163,0.048758154973102895,0.039716149708137805,0.06169165617488841,0.0921368890923658,0.16527412155202015,0.06066155430925947,0.03902941513105185,0.01808401052993018
47118,2023,8737,3.580473846858189,3.6,7.6,1.6639287077605442,4.8185393437773385,106.80195056369462,0.42028156117660526,0.004921597802449353,0.04589676090191141,0.019457479684102094,0.06535424058601351,0.0005722788142382969,0.0256380908778757,0.018656289344168478,0.055625500743962455,0.0030903055968868032,0.08286597230170539,0.06066155430925947,0.14032276525123039,0.0011445576284765937,0.030903055968868033,0.024607989012246766
47120,2023,8737,8.121620693601924,7.6,16.6,1.3814842594599361,8.93192357467057,1033.7751286568616,0.01716836442714891,0.015451527984434017,0.023348975620922512,0.03422227309145016,0.07565525924230285,0.04543893785052077,0.07050474991415817,0.0884743046812407,0.07622753805654114,0.04326427835641525,0.04314982259356759,0.06306512532906032,0.20693601922856816,0.10072107130594025,0.07016138262561519,0.026210369692114
47122,2023,8737,7.855270687879135,7.6,16.6,2.0461072620270206,12.37461498789962,1163.875102756953,0.29541032390980887,0.009499828316355728,0.028385029186219525,0.07668536110793178,0.1352867116859334,0.019915302735492732,0.016367174087215292,0.01648162985006295,0.030674144443172714,0.04555339361336843,0.048643699210255235,0.04955934531303651,0.1042691999542177,0.05894471786654458,0.042005264965090994,0.02231887375529358
47124,2023,8737,7.432677120293007,6.5,13.0,1.6993404799820027,8.374747730115189,645.9684039759071,0.05345084124985693,0.018770745107016137,0.009957651367746366,0.012475678150394872,0.02975849834039144,0.04120407462515738,0.0659265194002518,0.12017855099004235,0.28293464575941396,0.059745908206478196,0.03502346343138377,0.024379077486551447,0.06043264278356415,0.08046240128190454,0.0639807714318416,0.04131853038800504
47125,2023,8737,5.401899965663271,3.6,13.0,1.3177849908678128,6.799586366340752,533.0902731744306,0.20304452329174774,0.028156117660524206,0.04589676090191141,0.036625844111251,0.03925832665674717,0.026324825454961658,0.02975849834039144,0.044065468696348864,0.06420968295753691,0.046583495478997365,0.04440883598489184,0.06123383312349777,0.10941970928236237,0.0780588302621037,0.06478196177177521,0.07817328602495136
47127,2023,8737,8.07673114341307,7.6,16.6,1.993277202902659,12.372861111779699,1209.8881582808747,0.27606729998855445,0.012017855099004235,0.01659608561291061,0.030216321391782076,0.10209454046011217,0.05745679294952501,0.04830033192171226,0.029071763763305482,0.025523635115028042,0.01671054137575827,0.04349318988211057,0.06111937736065011,0.13849147304566786,0.06855900194574797,0.052764106672770976,0.021517683415359964
47128,2023,8737,6.983976193201328,5.4,14.8,1.3454575234314379,7.672333167296387,780.1050670024036,0.0805768570447522,0.06066155430925947,0.08252260501316241,0.09293807943229941,0.10163671740872153,0.035252374957079086,0.021746594941055283,0.01671054137575827,0.029872954103239098,0.043951012933501205,0.08732974705276411,0.0983175002861394,0.09442600434931898,0.0721071305940254,0.04463774751058716,0.037312578688336956
47132,2023,8737,5.4083552706878795,4.7,11.5,1.5800762715701366,7.369271114864411,369.661274215978,0.23371866773492045,0.028957308000457822,0.02758383884628591,0.02037312578688337,0.04521002632482545,0.04910152226164587,0.04612567242760673,0.023005608332379534,0.06123383312349777,0.06993247109991989,0.04337873411926291,0.031131967494563352,0.04978825683873183,0.05619777955820075,0.1628705505322193,0.05139063751859906
47133,2023,8737,5.4083552706878795,4.7,11.5,1.5800762715701366,7.369271114864411,369.661274215978,0.23371866773492045,0.028957308000457822,0.02758383884628591,0.02037312578688337,0.04521002632482545,0.04910152226164587,0.04612567242760673,0.023005608332379534,0.06123383312349777,0.06993247109991989,0.04337873411926291,0.031131967494563352,0.04978825683873183,0.05619777955820075,0.1628705505322193,0.05139063751859906
47134,2023,8737,6.142051047270231,3.6,16.6,1.4429839078506297,9.62590108490416,874.4446843496053,0.30021746594941057,0.012704589676090191,0.02369234290946549,0.043951012933501205,0.1214375643813666,0.046926862767540344,0.015680439510129335,0.01121666475907062,0.02392125443516081,0.024607989012246766,0.043951012933501205,0.09225134485521345,0.17580405173400482,0.048529243447407576,0.010758841707679982,0.004349318988211057
